coordinate,jdk8_version,jdk8_status,jdk17_version,jdk17_status,jdk21_version,jdk21_status,notes
cglib:cglib,3.3.0,bytecode-pass,3.3.0,bytecode-pass,3.3.0,bytecode-pass,
cglib:cglib-nodep,3.3.0,bytecode-pass,3.3.0,bytecode-pass,3.3.0,bytecode-pass,
ch.qos.logback:logback-classic,1.3.14,bytecode-pass,1.5.36,bytecode-pass,1.5.36,bytecode-pass,
ch.qos.logback:logback-core,1.3.14,bytecode-pass,1.5.36,bytecode-pass,1.5.36,bytecode-pass,
cn.afterturn:easypoi-annotation,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
cn.afterturn:easypoi-base,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
cn.afterturn:easypoi-web,4.5.0,bytecode-pass,4.5.0,bytecode-pass,4.5.0,bytecode-pass,
cn.edu.hfut.dmic.webcollector:WebCollector,2.74-alpha,bytecode-pass,2.74-alpha,bytecode-pass,2.74-alpha,bytecode-pass,
cn.hutool:hutool-all,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-aop,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-bloomFilter,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-cache,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-core,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-cron,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-crypto,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-db,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-dfa,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-http,5.8.25,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-json,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.hutool:hutool-system,5.8.47,bytecode-pass,5.8.47,bytecode-pass,5.8.47,bytecode-pass,
cn.jpush.api:jiguang-common,1.2.7,bytecode-pass,1.2.7,bytecode-pass,1.2.7,bytecode-pass,
cn.jpush.api:jpush-client,3.7.7,bytecode-pass,3.7.7,bytecode-pass,3.7.7,bytecode-pass,
cn.wensiqun:asmsupport-client,0.4.3,bytecode-pass,0.4.3,bytecode-pass,0.4.3,bytecode-pass,
co.elastic.clients:elasticsearch-java,,absent,9.2.1,bytecode-pass,9.2.1,bytecode-pass,
com.101tec:zkclient,0.11,bytecode-pass,0.11,bytecode-pass,0.11,bytecode-pass,
com.alibaba.csp:sentinel-core,1.8.10,bytecode-pass,1.8.10,bytecode-pass,1.8.10,bytecode-pass,
com.alibaba.fastjson2:fastjson2,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba.fastjson2:fastjson2-extension,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba.fastjson2:fastjson2-extension-spring5,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba.fastjson2:fastjson2-extension-spring6,2.0.62,unverified-artifact,2.0.62,unverified-artifact,2.0.62,unverified-artifact,
com.alibaba.nacos:nacos-client,3.2.2,bytecode-pass,3.2.2,bytecode-pass,3.2.2,bytecode-pass,
com.alibaba.otter:canal.client,1.1.8,bytecode-pass,1.1.8,bytecode-pass,1.1.8,bytecode-pass,
com.alibaba.otter:canal.protocol,1.1.8,bytecode-pass,1.1.8,bytecode-pass,1.1.8,bytecode-pass,
com.alibaba:druid,1.2.28,bytecode-pass,1.2.28,bytecode-pass,1.2.28,bytecode-pass,
com.alibaba:dubbo,3.3.6,unverified-artifact,3.3.6,unverified-artifact,3.3.6,unverified-artifact,
com.alibaba:easyexcel,4.0.3,bytecode-pass,4.0.3,bytecode-pass,4.0.3,bytecode-pass,
com.alibaba:fastjson,2.0.62,bytecode-pass,2.0.62,bytecode-pass,2.0.62,bytecode-pass,
com.alibaba:qlexpress4,4.1.2,bytecode-pass,4.1.2,bytecode-pass,4.1.2,bytecode-pass,
com.alibaba:transmittable-thread-local,2.14.5,bytecode-pass,2.14.5,bytecode-pass,2.14.5,bytecode-pass,
com.alicp.jetcache:jetcache-anno,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-anno-api,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-autoconfigure,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-core,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-redis-lettuce,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-redisson,,absent,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-starter-redis,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-starter-redis-lettuce,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alicp.jetcache:jetcache-starter-redisson,2.7.8,bytecode-pass,2.8.0.RC,bytecode-pass,2.8.0.RC,bytecode-pass,
com.alipay.sdk:alipay-easysdk,2.2.3,bytecode-pass,2.2.3,bytecode-pass,2.2.3,bytecode-pass,
com.alipay.sdk:alipay-sdk-java,4.40.865.ALL,bytecode-pass,4.40.865.ALL,bytecode-pass,4.40.865.ALL,bytecode-pass,
com.aliyun.openservices:ons-client,1.8.8.Final,bytecode-pass,2.0.11.Final,bytecode-pass,2.0.11.Final,bytecode-pass,
com.aliyun.oss:aliyun-sdk-oss,3.18.5,bytecode-pass,3.18.5,bytecode-pass,3.18.5,bytecode-pass,
com.aliyun:alibaba-dingtalk-service-sdk,2.0.0,bytecode-pass,2.0.0,bytecode-pass,2.0.0,bytecode-pass,
com.aliyun:aliyun-java-sdk-core,4.7.9,bytecode-pass,4.7.9,bytecode-pass,4.7.9,bytecode-pass,
com.aliyun:aliyun-java-sdk-dm,3.3.2,bytecode-pass,3.3.2,bytecode-pass,3.3.2,bytecode-pass,
com.aliyun:aliyun-java-sdk-green,3.6.6,bytecode-pass,3.6.6,bytecode-pass,3.6.6,bytecode-pass,
com.aliyun:aliyun-java-sdk-mts,3.3.68,bytecode-pass,3.3.68,bytecode-pass,3.3.68,bytecode-pass,
com.aliyun:aliyun-java-sdk-vod,2.16.34,bytecode-pass,2.16.34,bytecode-pass,2.16.34,bytecode-pass,
com.aliyun:cloudauth20190307,3.13.3,bytecode-pass,3.13.3,bytecode-pass,3.13.3,bytecode-pass,
com.aliyun:dingtalk,2.2.55,bytecode-pass,2.2.55,bytecode-pass,2.2.55,bytecode-pass,
com.aliyun:dm20151123,1.12.0,bytecode-pass,1.12.0,bytecode-pass,1.12.0,bytecode-pass,
com.amazonaws:aws-java-sdk-core,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-s3,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-ses,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-sns,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.amazonaws:aws-java-sdk-sts,1.12.797,bytecode-pass,1.12.797,bytecode-pass,1.12.797,bytecode-pass,
com.auth0:java-jwt,4.5.2,bytecode-pass,4.5.2,bytecode-pass,4.5.2,bytecode-pass,
com.auth0:jwks-rsa,0.24.1,bytecode-pass,0.24.1,bytecode-pass,0.24.1,bytecode-pass,
com.azure:azure-ai-openai,1.0.0-beta.16,bytecode-pass,1.0.0-beta.16,bytecode-pass,1.0.0-beta.16,bytecode-pass,
com.baomidou:dynamic-datasource-spring,,absent,4.3.1,bytecode-pass,4.3.1,bytecode-pass,
com.baomidou:kisso,3.8.3,bytecode-pass,3.9.5,bytecode-pass,3.9.5,bytecode-pass,
com.baomidou:mybatis-mate-annotation,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,
com.baomidou:mybatis-mate-starter,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,1.3.6-sp2,bytecode-pass,
com.baomidou:mybatis-plus,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-annotation,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-boot-starter,3.5.9,bytecode-pass,,replacement,,replacement,
com.baomidou:mybatis-plus-core,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-extension,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-generator,3.5.9,bytecode-pass,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
com.baomidou:mybatis-plus-jsqlparser,,replacement,3.5.16,bytecode-pass,3.5.16,bytecode-pass,
