coordinate,version,jdk_lines,maven_probe_exit,note
com.alibaba.fastjson2:fastjson2-extension-spring6,2.0.62,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.alibaba:dubbo,3.3.6,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.github.hiwepy:javassist-plus,1.0.4.RELEASE,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.github.hiwepy:spring-javassist,1.0.x.20260630-SNAPSHOT,8,1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.kingbase8.jdbc:kingbase8,8.6.0,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.tongweb:tongweb-embed-core,7.0.E.6_P5,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.tongweb:tongweb-embed-dubbo,7.0.E.6_P5,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.tongweb:tongweb-gmssl,1.0.0,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
com.tongweb:tongweb-lic-sdk,4.4.1.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
fr.opensagres.xdocreport:org.apache.poi.xwpf.converter.pdf.itext5,2.0.6,8,1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
fr.opensagres.xdocreport:org.apache.poi.xwpf.converter.pdf.itext5,2.1.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.easy4j:hitool-crypto,2.0.x.20260630-SNAPSHOT,17,not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.easy4j:hitool-crypto,3.0.x.20260630-SNAPSHOT,21,not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.easy4j:hitool-mail,2.0.x.20260630-SNAPSHOT,17,not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.easy4j:hitool-mail,3.0.x.20260630-SNAPSHOT,21,not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.resilience4j:resilience4j-spring,2.4.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.resilience4j:resilience4j-spring-boot2,2.4.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.github.resilience4j:resilience4j-spring-cloud2,2.4.0,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-tcnative:jar:linux-aarch_64-fedora,2.0.79.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-tcnative:jar:linux-x86_64,2.0.79.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-tcnative:jar:linux-x86_64-fedora,2.0.79.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-tcnative:jar:osx-x86_64,2.0.79.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-transport-native-unix-common:jar:linux-aarch_64,4.2.15.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-transport-native-unix-common:jar:linux-riscv64,4.2.15.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-transport-native-unix-common:jar:linux-x86_64,4.2.15.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.netty:netty-transport-native-unix-common:jar:osx-x86_64,4.2.15.Final,"8,17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.swagger:swagger-hibernate-validations,2.0.0-rc2,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.swagger:swagger-jaxrs,2.0.0-rc2,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.swagger:swagger-jersey-jaxrs,2.0.0-rc2,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.swagger:swagger-jersey2-jaxrs,2.0.0-rc2,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
io.swagger:swagger-servlet,2.0.0-rc2,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
markdown-clj:markdown-clj,1.11.1,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
net.imagej:imagej,2.16.0,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
net.imagej:imagej-ui-swing,imagej-ui-swing-1.0.1,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
net.javacrumbs.shedlock:shedlock-provider-couchbase-javaclient,7.2.1,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
net.javacrumbs.shedlock:shedlock-provider-redis-jedis,7.2.1,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.commons.ssl:not-yet-commons-ssl,0.3.9,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.commons:not-yet-commons-ssl,0.3.9,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.cxf:cxf-rt-rs-service-description-swagger,4.2.2,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.hbase:hbase-protocol,3.0.0-beta-1,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.kafka:kafka-log4j-appender,4.3.1,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.kafka:kafka-streams-scala_2.12,4.3.1,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.kafka:kafka_2.12,4.3.1,"17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.kafka:kafka_2.12:jar:test,4.3.1,"17,21",not-probed-exact-variant,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.logging.log4j:log4j-flume-ng,2.24.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.logging.log4j:log4j-kubernetes,2.24.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.logging.log4j:log4j-mongodb3,2.24.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.shardingsphere:shardingsphere-parser-sql-mysql,5.5.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.shardingsphere:shardingsphere-parser-sql-opengauss,5.5.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.shardingsphere:shardingsphere-parser-sql-oracle,5.5.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
org.apache.shardingsphere:shardingsphere-parser-sql-postgresql,5.5.3,"8,17,21",1,尚未取得当前坐标/JDK 的完整兼容证据；不得计为通过
