coordinate	declared_expression	selected_spdx	evidence_url	evidence_type	justification
ch.qos.logback:logback-classic:1.5.36	EPL-2.0 OR LGPL-2.1-only	EPL-2.0	https://repo1.maven.org/maven2/ch/qos/logback/logback-classic/1.5.36/logback-classic-1.5.36.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
ch.qos.logback:logback-core:1.5.36	EPL-2.0 OR LGPL-2.1-only	EPL-2.0	https://repo1.maven.org/maven2/ch/qos/logback/logback-core/1.5.36/logback-core-1.5.36.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
ch.qos.logback.access:logback-access-common:2.0.12	Eclipse Public License - v 2.0 OR GNU Lesser General Public License	EPL-2.0	https://repo1.maven.org/maven2/ch/qos/logback/access/logback-access-common/2.0.12/logback-access-common-2.0.12.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
ch.qos.logback.access:logback-access-jetty12:2.0.12	Eclipse Public License - v 2.0 OR GNU Lesser General Public License	EPL-2.0	https://repo1.maven.org/maven2/ch/qos/logback/access/logback-access-jetty12/2.0.12/logback-access-jetty12-2.0.12.pom	POM	Select the upstream EPL-2.0 option; dependency is consumed as an unmodified JAR.
com.github.jsqlparser:jsqlparser:5.3	GNU Library or Lesser General Public License (LGPL) V2.1 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/com/github/jsqlparser/jsqlparser/5.3/jsqlparser-5.3.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
com.h2database:h2:2.4.240	EPL 1.0 OR MPL 2.0	EPL-1.0	https://repo1.maven.org/maven2/com/h2database/h2/2.4.240/h2-2.4.240.pom	POM	Select the upstream EPL-1.0 option; dependency is consumed as an unmodified JAR.
com.rabbitmq:amqp-client:5.32.0	AL 2.0 OR GPL v2 OR MPL 2.0	Apache-2.0	https://repo1.maven.org/maven2/com/rabbitmq/amqp-client/5.32.0/amqp-client-5.32.0.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
io.vertx:vertx-auth-common:4.5.32	Eclipse Public License - v 1.0 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/io/vertx/vertx-auth-common/4.5.32/vertx-auth-common-4.5.32.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
io.vertx:vertx-bridge-common:4.5.32	Eclipse Public License - v 1.0 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/io/vertx/vertx-bridge-common/4.5.32/vertx-bridge-common-4.5.32.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
io.vertx:vertx-core:4.5.32	Eclipse Public License - v 2.0 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/io/vertx/vertx-core/4.5.32/vertx-core-4.5.32.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
io.vertx:vertx-core:5.1.5	Eclipse Public License - v 2.0 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/io/vertx/vertx-core/5.1.5/vertx-core-5.1.5.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
io.vertx:vertx-core-logging:5.1.5	Eclipse Public License - v 2.0 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/io/vertx/vertx-core-logging/5.1.5/vertx-core-logging-5.1.5.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
io.vertx:vertx-junit5:4.5.32	Eclipse Public License - v 1.0 OR The Apache Software License, Version 2.0	Apache-2.0	https://repo1.maven.org/maven2/io/vertx/vertx-junit5/4.5.32/vertx-junit5-4.5.32.pom	POM	Select the upstream Apache-2.0 option; dependency is consumed as an unmodified JAR.
